Файлы с максимумом в m=0 (всего: 369)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
----------------------------------------------------------------------------------------------------
1    gem_glass64_J-100_2.dat  key=-100.0  Fr=6.0     N=3
2    gem_glass64_J-100_3.dat  key=-100.0  Fr=6.0     N=3
3    gem_glass64_J-100_4.dat  key=-100.0  Fr=6.0     N=3
4    gem_glass64_J-100_5.dat  key=-100.0  Fr=6.0     N=3
5    gem_glass64_J-100_6.dat  key=-100.0  Fr=6.0     N=3
6    gem_glass64_J-100_7.dat  key=-100.0  Fr=6.0     N=3
7    gem_glass64_J-102_1.dat  key=-102.0  Fr=5.0     N=3
8    gem_glass64_J-102_6.dat  key=-102.0  Fr=5.0     N=3
9    gem_glass64_J-104_0.dat  key=-104.0  Fr=4.0     N=3
10   gem_glass64_J-104_6.dat  key=-104.0  Fr=4.0     N=3
11   gem_glass64_J-104_7.dat  key=-106.0  Fr=3.0     N=3
12   gem_glass64_J-106_2.dat  key=-106.0  Fr=3.0     N=3
13   gem_glass64_J-108_3.dat  key=-108.0  Fr=2.0     N=3
14   gem_glass64_J-108_7.dat  key=-108.0  Fr=2.0     N=3
15   gem_glass64_J-10_2.dat  key=-82.0  Fr=15.0    N=15
16   gem_glass64_J-10_4.dat  key=-80.0  Fr=16.0    N=15
17   gem_glass64_J-10_5.dat  key=-84.0  Fr=14.0    N=9
18   gem_glass64_J-10_6.dat  key=-82.0  Fr=15.0    N=5
19   gem_glass64_J-10_7.dat  key=-82.0  Fr=15.0    N=7
20   gem_glass64_J-10_8.dat  key=-80.0  Fr=16.0    N=15
21   gem_glass64_J-12_0.dat  key=-76.0  Fr=18.0    N=17
22   gem_glass64_J-12_1.dat  key=-80.0  Fr=16.0    N=13
23   gem_glass64_J-12_2.dat  key=-78.0  Fr=17.0    N=11
24   gem_glass64_J-12_3.dat  key=-84.0  Fr=14.0    N=7
25   gem_glass64_J-12_5.dat  key=-84.0  Fr=14.0    N=19
26   gem_glass64_J-12_6.dat  key=-76.0  Fr=18.0    N=19
