Файлы с максимумом НЕ в m=0 (всего: 637)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек    m(max)    
----------------------------------------------------------------------------------------------------
1    gem_glass64_J-102_5.dat  key=-102.0  Fr=5.0     N=3       m=-2.000
2    gem_glass64_J-104_1.dat  key=-104.0  Fr=4.0     N=3       m=-2.000
3    gem_glass64_J-104_4.dat  key=-104.0  Fr=4.0     N=3       m=-2.000
4    gem_glass64_J-106_8.dat  key=-106.0  Fr=3.0     N=5       m=-2.000
5    gem_glass64_J-10_0.dat  key=-82.0  Fr=15.0    N=12      m=-14.000
6    gem_glass64_J-10_1.dat  key=-88.0  Fr=12.0    N=10      m=-10.000
7    gem_glass64_J-10_9.dat  key=-84.0  Fr=14.0    N=15      m=-4.000
8    gem_glass64_J-12_4.dat  key=-82.0  Fr=15.0    N=19      m=-10.000
9    gem_glass64_J-12_9.dat  key=-80.0  Fr=16.0    N=11      m=-2.000
10   gem_glass64_J-14_0.dat  key=-80.0  Fr=16.0    N=15      m=-8.000
11   gem_glass64_J-14_1.dat  key=-84.0  Fr=14.0    N=15      m=-6.000
12   gem_glass64_J-14_2.dat  key=-84.0  Fr=14.0    N=6       m=-8.000
13   gem_glass64_J-14_4.dat  key=-84.0  Fr=14.0    N=7       m=-4.000
14   gem_glass64_J-14_8.dat  key=-80.0  Fr=16.0    N=13      m=-4.000
15   gem_glass64_J-16_1.dat  key=-76.0  Fr=18.0    N=13      m=-8.000
16   gem_glass64_J-16_4.dat  key=-84.0  Fr=14.0    N=10      m=-10.000
17   gem_glass64_J-16_5.dat  key=-78.0  Fr=17.0    N=15      m=-4.000
18   gem_glass64_J-16_6.dat  key=-78.0  Fr=17.0    N=14      m=-16.000
19   gem_glass64_J-16_7.dat  key=-78.0  Fr=17.0    N=17      m=-4.000
20   gem_glass64_J-16_8.dat  key=-82.0  Fr=15.0    N=10      m=-6.000
21   gem_glass64_J-18_0.dat  key=-86.0  Fr=13.0    N=8       m=-10.000
22   gem_glass64_J-18_1.dat  key=-84.0  Fr=14.0    N=10      m=-6.000
23   gem_glass64_J-18_2.dat  key=-76.0  Fr=18.0    N=17      m=-6.000
24   gem_glass64_J-18_4.dat  key=-80.0  Fr=16.0    N=19      m=-4.000
25   gem_glass64_J-18_5.dat  key=-78.0  Fr=17.0    N=11      m=-6.000
26   gem_glass64_J-18_6.dat  key=-88.0  Fr=12.0    N=4       m=-12.000
27   gem_glass64_J-18_9.dat  key=-88.0  Fr=12.0    N=5       m=-2.000
28   gem_glass64_J-20_4.dat  key=-78.0  Fr=17.0    N=18      m=-6.000
29   gem_glass64_J-20_5.dat  key=-78.0  Fr=17.0    N=9       m=-6.000
30   gem_glass64_J-20_7.dat  key=-84.0  Fr=14.0    N=11      m=-2.000
31   gem_glass64_J-20_9.dat  key=-76.0  Fr=18.0    N=17      m=-6.000
32   gem_glass64_J-22_1.dat  key=-82.0  Fr=15.0    N=16      m=-16.000
33   gem_glass64_J-22_2.dat  key=-78.0  Fr=17.0    N=15      m=-4.000
34   gem_glass64_J-22_3.dat  key=-82.0  Fr=15.0    N=10      m=-8.000
35   gem_glass64_J-22_5.dat  key=-86.0  Fr=13.0    N=7       m=-4.000
36   gem_glass64_J-22_6.dat  key=-80.0  Fr=16.0    N=11      m=-2.000
37   gem_glass64_J-22_7.dat  key=-84.0  Fr=14.0    N=13      m=-2.000
38   gem_glass64_J-22_8.dat  key=-90.0  Fr=11.0    N=11      m=-2.000
39   gem_glass64_J-22_9.dat  key=-78.0  Fr=17.0    N=14      m=-10.000
40   gem_glass64_J-24_0.dat  key=-80.0  Fr=16.0    N=12      m=-10.000
41   gem_glass64_J-24_1.dat  key=-82.0  Fr=15.0    N=15      m=-4.000
42   gem_glass64_J-24_2.dat  key=-84.0  Fr=14.0    N=9       m=-2.000
43   gem_glass64_J-24_4.dat  key=-80.0  Fr=16.0    N=8       m=-6.000
44   gem_glass64_J-24_5.dat  key=-82.0  Fr=15.0    N=15      m=-6.000
45   gem_glass64_J-24_6.dat  key=-88.0  Fr=12.0    N=4       m=-6.000
46   gem_glass64_J-24_7.dat  key=-84.0  Fr=14.0    N=16      m=-10.000
47   gem_glass64_J-24_8.dat  key=-78.0  Fr=17.0    N=11      m=-4.000
48   gem_glass64_J-24_9.dat  key=-88.0  Fr=12.0    N=10      m=-8.000
49   gem_glass64_J-26_2.dat  key=-84.0  Fr=14.0    N=8       m=-6.000
50   gem_glass64_J-26_3.dat  key=-86.0  Fr=13.0    N=14      m=-8.000
51   gem_glass64_J-26_4.dat  key=-84.0  Fr=14.0    N=12      m=-16.000
52   gem_glass64_J-26_7.dat  key=-82.0  Fr=15.0    N=9       m=-4.000
53   gem_glass64_J-26_9.dat  key=-86.0  Fr=13.0    N=13      m=-6.000
54   gem_glass64_J-28_2.dat  key=-80.0  Fr=16.0    N=8       m=-8.000
55   gem_glass64_J-28_5.dat  key=-82.0  Fr=15.0    N=8       m=-10.000
56   gem_glass64_J-28_7.dat  key=-82.0  Fr=15.0    N=12      m=-12.000
57   gem_glass64_J-28_8.dat  key=-88.0  Fr=12.0    N=9       m=-2.000
58   gem_glass64_J-2_0.dat  key=-86.0  Fr=13.0    N=8       m=-16.000
59   gem_glass64_J-2_3.dat  key=-84.0  Fr=14.0    N=9       m=-4.000
60   gem_glass64_J-2_4.dat  key=-88.0  Fr=12.0    N=5       m=-2.000
61   gem_glass64_J-2_7.dat  key=-78.0  Fr=17.0    N=19      m=-6.000
62   gem_glass64_J-2_8.dat  key=-80.0  Fr=16.0    N=17      m=-6.000
63   gem_glass64_J-30_2.dat  key=-78.0  Fr=17.0    N=11      m=-4.000
64   gem_glass64_J-30_4.dat  key=-80.0  Fr=16.0    N=9       m=-2.000
65   gem_glass64_J-30_5.dat  key=-80.0  Fr=16.0    N=13      m=-2.000
