Файлы с 1-2 точками (графики не созданы) (всего: 106)
====================================================================================================

№    Название файла                                     Ключ     Фрустрация   Точек   
----------------------------------------------------------------------------------------------------
1    gem_glass64_J-100_0.dat  key=-100.0  Fr=6.0     N=1
2    gem_glass64_J-100_1.dat  key=-100.0  Fr=6.0     N=1
3    gem_glass64_J-100_8.dat  key=-100.0  Fr=6.0     N=1
4    gem_glass64_J-100_9.dat  key=-102.0  Fr=5.0     N=2
5    gem_glass64_J-102_0.dat  key=-104.0  Fr=4.0     N=2
6    gem_glass64_J-102_2.dat  key=-104.0  Fr=4.0     N=1
7    gem_glass64_J-102_3.dat  key=-102.0  Fr=5.0     N=1
8    gem_glass64_J-102_4.dat  key=-102.0  Fr=5.0     N=1
9    gem_glass64_J-102_7.dat  key=-102.0  Fr=5.0     N=1
10   gem_glass64_J-102_8.dat  key=-102.0  Fr=5.0     N=1
11   gem_glass64_J-102_9.dat  key=-102.0  Fr=5.0     N=1
12   gem_glass64_J-104_2.dat  key=-104.0  Fr=4.0     N=1
13   gem_glass64_J-104_3.dat  key=-104.0  Fr=4.0     N=1
14   gem_glass64_J-104_5.dat  key=-104.0  Fr=4.0     N=1
15   gem_glass64_J-104_8.dat  key=-104.0  Fr=4.0     N=1
16   gem_glass64_J-104_9.dat  key=-104.0  Fr=4.0     N=1
17   gem_glass64_J-106_0.dat  key=-106.0  Fr=3.0     N=1
18   gem_glass64_J-106_1.dat  key=-106.0  Fr=3.0     N=1
19   gem_glass64_J-106_3.dat  key=-106.0  Fr=3.0     N=1
20   gem_glass64_J-106_4.dat  key=-106.0  Fr=3.0     N=1
21   gem_glass64_J-106_5.dat  key=-108.0  Fr=2.0     N=2
22   gem_glass64_J-106_6.dat  key=-106.0  Fr=3.0     N=1
23   gem_glass64_J-106_7.dat  key=-106.0  Fr=3.0     N=1
24   gem_glass64_J-106_9.dat  key=-106.0  Fr=3.0     N=1
25   gem_glass64_J-108_0.dat  key=-108.0  Fr=2.0     N=1
26   gem_glass64_J-108_1.dat  key=-108.0  Fr=2.0     N=1
27   gem_glass64_J-108_2.dat  key=-108.0  Fr=2.0     N=1
28   gem_glass64_J-108_4.dat  key=-108.0  Fr=2.0     N=1
29   gem_glass64_J-108_5.dat  key=-108.0  Fr=2.0     N=1
30   gem_glass64_J-108_6.dat  key=-108.0  Fr=2.0     N=1
31   gem_glass64_J-108_8.dat  key=-108.0  Fr=2.0     N=1
32   gem_glass64_J-108_9.dat  key=-108.0  Fr=2.0     N=1
33   gem_glass64_J-10_3.dat  key=-86.0  Fr=13.0    N=2
34   gem_glass64_J-110_0.dat  key=-110.0  Fr=1.0     N=1
35   gem_glass64_J-110_1.dat  key=-110.0  Fr=1.0     N=1
36   gem_glass64_J-110_2.dat  key=-110.0  Fr=1.0     N=1
37   gem_glass64_J-110_3.dat  key=-110.0  Fr=1.0     N=1
38   gem_glass64_J-110_4.dat  key=-110.0  Fr=1.0     N=1
39   gem_glass64_J-110_5.dat  key=-110.0  Fr=1.0     N=1
40   gem_glass64_J-110_6.dat  key=-110.0  Fr=1.0     N=1
41   gem_glass64_J-110_7.dat  key=-110.0  Fr=1.0     N=1
42   gem_glass64_J-110_8.dat  key=-110.0  Fr=1.0     N=1
43   gem_glass64_J-110_9.dat  key=-110.0  Fr=1.0     N=1
44   gem_glass64_J-112_0.dat  key=-112.0  Fr=0.0     N=1
45   gem_glass64_J-12_7.dat  key=-86.0  Fr=13.0    N=2
46   gem_glass64_J-58_5.dat  key=-88.0  Fr=12.0    N=2
