название; max C; T(maxC); max Xi; T(maxXi); G; f
term_gem_glass64_J-112_0_H0.0.dat;0.871733224;1.935542859;0.045986562;3.05904585;2;0
term_gem_glass64_J112_9_H0.0.dat;0.871733224;1.935542859;2.115754291;2.034274997;2;0
term_gem_glass64_J-110_0_H0.0.dat;0.834287857;1.860018643;0.046820656;2.969079764;2;1
term_gem_glass64_J-110_1_H0.0.dat;0.81919567;1.87861883;0.046773884;2.998770562;2;1
term_gem_glass64_J-110_2_H0.0.dat;0.827683263;1.87861883;0.046812521;2.969079764;2;1
term_gem_glass64_J-110_3_H0.0.dat;0.860142045;1.841602617;0.046855571;2.969079764;2;1
term_gem_glass64_J-110_4_H0.0.dat;0.814397331;1.916379068;0.04709012;2.969079764;2;1
term_gem_glass64_J-110_5_H0.0.dat;0.812385966;1.916379068;0.047048711;2.969079764;2;1
term_gem_glass64_J-110_6_H0.0.dat;0.814397331;1.916379068;0.04709012;2.969079764;2;1
term_gem_glass64_J-110_7_H0.0.dat;0.822305878;1.916379068;0.046984573;2.969079764;2;1
term_gem_glass64_J-110_8_H0.0.dat;0.853128229;1.841602617;0.046855007;2.969079764;2;1
term_gem_glass64_J-110_9_H0.0.dat;0.812385966;1.916379068;0.047048711;2.969079764;2;1
term_gem_glass64_J110_0_H0.0.dat;0.840050368;1.860018643;2.318986164;1.916379068;2;1
term_gem_glass64_J110_1_H0.0.dat;0.819077796;1.897405018;2.05850738;1.97444727;2;1
term_gem_glass64_J110_2_H0.0.dat;0.829805158;1.916379068;2.02896119;2.01413366;2;1
term_gem_glass64_J110_3_H0.0.dat;0.827683263;1.87861883;2.146519331;1.954898287;2;1
term_gem_glass64_J110_5_H0.0.dat;0.822305878;1.916379068;2.037857101;2.01413366;2;1
term_gem_glass64_J110_6_H0.0.dat;0.825895093;1.916379068;2.051519169;1.994191743;2;1
term_gem_glass64_J110_8_H0.0.dat;0.845522491;1.841602617;2.409543593;1.897405018;2;1
term_gem_glass64_J110_9_H0.0.dat;0.829805158;1.916379068;2.02896119;2.01413366;2;1
term_gem_glass64_J110_4_H0.0.dat;0.841526279;1.935542859;156.25;0.0001;4;1
term_gem_glass64_J110_7_H0.0.dat;0.841526279;1.935542859;156.25;0.0001;4;1
term_gem_glass64_J-106_5_H0.0.dat;0.812562199;1.80531577;0.049706037;2.769314302;2;2
term_gem_glass64_J-108_0_H0.0.dat;0.76941952;1.823368928;0.04768629;2.910577163;2;2
term_gem_glass64_J-108_1_H0.0.dat;0.781324007;1.860018643;0.047844419;2.910577163;2;2
term_gem_glass64_J-108_2_H0.0.dat;0.776760268;1.897405018;0.048019221;2.910577163;2;2
term_gem_glass64_J-108_4_H0.0.dat;0.781277904;1.87861883;0.048029779;2.881759567;2;2
term_gem_glass64_J-108_5_H0.0.dat;0.768065405;1.897405018;0.047839702;2.910577163;2;2
term_gem_glass64_J-108_6_H0.0.dat;0.766916704;1.841602617;0.047500702;2.939682935;2;2
term_gem_glass64_J-108_8_H0.0.dat;0.785032155;1.897405018;0.047928499;2.910577163;2;2
term_gem_glass64_J-108_9_H0.0.dat;0.794329003;1.823368928;0.047854616;2.881759567;2;2
term_gem_glass64_J106_2_H0.0.dat;0.777280926;1.897405018;1.92904801;1.97444727;2;2
term_gem_glass64_J108_2_H0.0.dat;0.780836404;1.916379068;1.962651197;1.994191743;2;2
term_gem_glass64_J108_3_H0.0.dat;0.777360482;1.860018643;2.072283089;1.935542859;2;2
term_gem_glass64_J108_4_H0.0.dat;0.795517347;1.841602617;2.168832209;1.916379068;2;2
term_gem_glass64_J108_5_H0.0.dat;0.825276284;1.769743917;2.705030213;1.80531577;2;2
term_gem_glass64_J108_6_H0.0.dat;0.786387692;1.916379068;1.948777163;1.994191743;2;2
term_gem_glass64_J108_7_H0.0.dat;0.801533094;1.787441357;2.522420308;1.823368928;2;2
term_gem_glass64_J108_8_H0.0.dat;0.813538314;1.80531577;2.451295014;1.860018643;2;2
term_gem_glass64_J108_9_H0.0.dat;0.806895009;1.7522217;2.868085402;1.769743917;2;2
term_gem_glass64_J-108_3_H0.0.dat;0.789274434;1.87861883;156.25;0.0001;4;2
term_gem_glass64_J-108_7_H0.0.dat;0.769942901;1.87861883;156.25;0.0001;4;2
term_gem_glass64_J108_0_H0.0.dat;0.795969543;1.916379068;156.25;0.0001;4;2
term_gem_glass64_J108_1_H0.0.dat;0.798016973;1.916379068;156.25;0.0001;4;2
term_gem_glass64_J-106_0_H0.0.dat;0.750583707;1.734872971;0.048554523;2.824977519;2;3
term_gem_glass64_J-106_1_H0.0.dat;0.736584074;1.87861883;0.049010887;2.824977519;2;3
term_gem_glass64_J-106_3_H0.0.dat;0.723997805;1.823368928;0.048659034;2.853227294;2;3
term_gem_glass64_J-106_4_H0.0.dat;0.760172141;1.769743917;0.049055448;2.797007445;2;3
term_gem_glass64_J-106_6_H0.0.dat;0.730467542;1.841602617;0.049006442;2.824977519;2;3
term_gem_glass64_J-106_7_H0.0.dat;0.778356736;1.787441357;0.048929687;2.797007445;2;3
term_gem_glass64_J-106_9_H0.0.dat;0.723871961;1.87861883;0.049055694;2.824977519;2;3
term_gem_glass64_J104_5_H0.0.dat;0.730890302;1.80531577;1.996122864;1.860018643;2;3
term_gem_glass64_J106_0_H0.0.dat;0.740437131;1.823368928;2.023215873;1.87861883;2;3
term_gem_glass64_J106_1_H0.0.dat;0.781507358;1.734872971;2.848254192;1.7522217;2;3
term_gem_glass64_J106_3_H0.0.dat;0.757792998;1.7522217;2.446504185;1.769743917;2;3
term_gem_glass64_J106_4_H0.0.dat;0.751740284;1.769743917;2.261335709;1.823368928;2;3
gem_glass64_J106_6_H0.0.dat;0.700778382;1.87861883;2.049675075;1.841602617;2;3
term_gem_glass64_J106_9_H0.0.dat;0.762077567;1.80531577;2.23996214;1.841602617;2;3
term_gem_glass64_J-104_7_H0.0.dat;0.7200787;1.841602617;156.25;0.0001;4;3
