#H	log(g(EgsH))	g(EgsH)	EgsH
0	0.693147	2	-112
0.01	0.693147	2	-112
0.02	0.693147	2	-112
0.03	0.693147	2	-112
0.04	0.693147	2	-112
0.05	0.693147	2	-112
0.06	0.693147	2	-112
0.07	0.693147	2	-112
0.08	0.693147	2	-112
0.09	0.693147	2	-112
0.1	0.693147	2	-112
0.1	0.693147	2	-112
0.11	0.693147	2	-112
0.111111	0.693147	2	-112
0.12	0.693147	2	-112
0.125	0.693147	2	-112
0.13	0.693147	2	-112
0.14	0.693147	2	-112
0.142857	0.693147	2	-112
0.15	0.693147	2	-112
0.16	0.693147	2	-112
0.166667	0.693147	2	-112
0.17	0.693147	2	-112
0.18	0.693147	2	-112
0.19	0.693147	2	-112
0.2	0.693147	2	-112
0.2	0.693147	2	-112
0.2	0.693147	2	-112
0.21	0.693147	2	-112
0.22	0.693147	2	-112
0.222222	0.693147	2	-112
0.23	0.693147	2	-112
0.24	0.693147	2	-112
0.25	0.693147	2	-112
0.25	0.693147	2	-112
0.25	0.693147	2	-112
0.26	0.693147	2	-112
0.27	0.693147	2	-112
0.28	0.693147	2	-112
0.285714	0.693147	2	-112
0.29	0.693147	2	-112
0.3	0.693147	2	-112
0.3	0.693147	2	-112
0.31	0.693147	2	-112
0.32	0.693147	2	-112
0.33	0.693147	2	-112
0.333333	0.693147	2	-112
0.333333	0.693147	2	-112
0.333333	0.693147	2	-112
0.34	0.693147	2	-112
0.35	0.693147	2	-112
0.36	0.693147	2	-112
0.37	0.693147	2	-112
0.375	0.693147	2	-112
0.38	0.693147	2	-112
0.39	0.693147	2	-112
0.4	0.693147	2	-112
0.4	0.693147	2	-112
0.4	0.693147	2	-112
0.41	0.693147	2	-112
0.42	0.693147	2	-112
0.428571	0.693147	2	-112
0.43	0.693147	2	-112
0.44	0.693147	2	-112
0.444444	0.693147	2	-112
0.45	0.693147	2	-112
0.46	0.693147	2	-112
0.47	0.693147	2	-112
0.48	0.693147	2	-112
0.49	0.693147	2	-112
0.5	0.693147	2	-112
0.5	0.693147	2	-112
0.5	0.693147	2	-112
0.5	0.693147	2	-112
0.5	0.693147	2	-112
0.5	0.693147	2	-112
0.51	0.693147	2	-112
0.52	0.693147	2	-112
0.53	0.693147	2	-112
0.54	0.693147	2	-112
0.55	0.693147	2	-112
0.555556	0.693147	2	-112
0.56	0.693147	2	-112
0.57	0.693147	2	-112
0.571429	0.693147	2	-112
0.58	0.693147	2	-112
0.59	0.693147	2	-112
0.6	0.693147	2	-112
0.6	0.693147	2	-112
0.6	0.693147	2	-112
0.61	0.693147	2	-112
0.62	0.693147	2	-112
0.625	0.693147	2	-112
0.63	0.693147	2	-112
0.64	0.693147	2	-112
0.65	0.693147	2	-112
0.66	0.693147	2	-112
0.666667	0.693147	2	-112
0.666667	0.693147	2	-112
0.666667	0.693147	2	-112
0.67	0.693147	2	-112
0.68	0.693147	2	-112
0.69	0.693147	2	-112
0.7	0.693147	2	-112
0.7	0.693147	2	-112
0.71	0.693147	2	-112
0.714286	0.693147	2	-112
0.72	0.693147	2	-112
0.73	0.693147	2	-112
0.74	0.693147	2	-112
0.75	0.693147	2	-112
0.75	0.693147	2	-112
0.75	0.693147	2	-112
0.76	0.693147	2	-112
0.77	0.693147	2	-112
0.777778	0.693147	2	-112
0.78	0.693147	2	-112
0.79	0.693147	2	-112
0.8	0.693147	2	-112
0.8	0.693147	2	-112
0.8	0.693147	2	-112
0.81	0.693147	2	-112
0.82	0.693147	2	-112
0.83	0.693147	2	-112
0.833333	0.693147	2	-112
0.84	0.693147	2	-112
0.85	0.693147	2	-112
0.857143	0.693147	2	-112
0.86	0.693147	2	-112
0.87	0.693147	2	-112
0.875	0.693147	2	-112
0.88	0.693147	2	-112
0.888889	0.693147	2	-112
0.89	0.693147	2	-112
0.9	0.693147	2	-112
0.9	0.693147	2	-112
0.91	0.693147	2	-112
0.92	0.693147	2	-112
0.93	0.693147	2	-112
0.94	0.693147	2	-112
0.95	0.693147	2	-112
0.96	0.693147	2	-112
0.97	0.693147	2	-112
0.98	0.693147	2	-112
0.99	0.693147	2	-112
1	1.79176	6	-112
1.01	1.38629	4	-112.16
1.02	1.38629	4	-112.32
1.03	1.38629	4	-112.48
1.04	1.38629	4	-112.64
1.05	1.38629	4	-112.8
1.06	1.38629	4	-112.96
1.07	1.38629	4	-113.12
1.08	1.38629	4	-113.28
1.09	1.38629	4	-113.44
1.1	1.38629	4	-113.6
1.11	1.38629	4	-113.76
1.12	1.38629	4	-113.92
1.125	1.38629	4	-114
1.13	1.38629	4	-114.08
1.14	1.38629	4	-114.24
1.14286	1.38629	4	-114.286
1.15	1.38629	4	-114.4
1.16	1.38629	4	-114.56
1.16667	1.38629	4	-114.667
1.17	1.38629	4	-114.72
1.18	1.38629	4	-114.88
1.19	1.38629	4	-115.04
1.2	1.38629	4	-115.2
1.2	1.38629	4	-115.2
1.21	1.38629	4	-115.36
1.22	1.38629	4	-115.52
1.23	1.38629	4	-115.68
1.24	1.38629	4	-115.84
1.25	1.38629	4	-116
1.25	1.38629	4	-116
1.26	1.38629	4	-116.16
1.27	1.38629	4	-116.32
1.28	1.38629	4	-116.48
1.28571	1.38629	4	-116.571
1.29	1.38629	4	-116.64
1.3	1.38629	4	-116.8
1.31	1.38629	4	-116.96
1.32	1.38629	4	-117.12
1.33	1.38629	4	-117.28
1.33333	1.38629	4	-117.333
1.33333	1.38629	4	-117.333
1.34	1.38629	4	-117.44
1.35	1.38629	4	-117.6
1.36	1.38629	4	-117.76
1.37	1.38629	4	-117.92
1.38	1.38629	4	-118.08
1.39	1.38629	4	-118.24
1.4	1.38629	4	-118.4
1.4	1.38629	4	-118.4
1.41	1.38629	4	-118.56
1.42	1.38629	4	-118.72
1.43	1.38629	4	-118.88
1.44	1.38629	4	-119.04
1.45	1.38629	4	-119.2
1.46	1.38629	4	-119.36
1.47	1.38629	4	-119.52
1.48	1.38629	4	-119.68
1.49	1.38629	4	-119.84
