#T	E/N	M/N	C/N	Xi/N
0.0001	-0.0273438	0	0	0
0.0101	-0.0273438	1.96298e-175	0	3.88709e-173
0.0201	-0.0273438	7.31084e-090	0	7.27447e-088
0.0301	-0.0273438	3.77727e-061	0	2.50981e-059
0.0401	-0.0273438	9.32362e-047	0	4.65019e-045
0.0501	-0.0273438	4.13542e-038	0	1.65087e-036
0.0601	-0.0273438	2.43186e-032	0	8.09272e-031
0.0701	-0.0273438	3.23076e-028	0	9.21757e-027
0.0801	-0.0273438	4.00973e-025	0	1.00118e-023
0.0901	-0.0273438	1.02371e-022	0	2.27238e-021
0.1001	-0.0273438	8.63585e-021	0	1.72544e-019
0.1101	-0.0273437	3.25497e-019	0	5.91276e-018
0.1201	-0.0273437	6.70349e-018	0	1.11632e-016
0.1301	-0.0273437	8.67151e-017	0	1.33305e-015
0.1401	-0.0273437	7.78351e-016	2.94129e-013	1.11114e-014
0.1501	-0.0273437	5.21513e-015	1.81341e-012	6.9489e-014
0.1601	-0.0273437	2.75526e-014	8.54151e-012	3.44195e-013
0.1701	-0.0273437	1.19694e-013	3.31217e-011	1.40735e-012
0.1801	-0.0273437	4.41726e-013	1.08955e-010	4.90548e-012
0.1901	-0.0273437	1.42099e-012	3.14652e-010	1.49507e-011
0.2001	-0.0273437	4.06761e-012	8.13091e-010	4.06595e-011
0.2101	-0.0273437	1.05353e-011	1.91072e-009	1.00303e-010
0.2201	-0.0273437	2.50292e-011	4.13797e-009	2.27486e-010
0.2301	-0.0273437	5.51631e-011	8.34895e-009	4.79631e-010
0.2401	-0.0273437	1.13852e-010	1.58377e-008	9.48829e-010
0.2501	-0.0273437	2.21802e-010	2.84634e-008	1.7749e-009
0.2601	-0.0273437	4.10614e-010	4.8778e-008	3.16024e-009
0.2701	-0.0273437	7.26492e-010	8.01497e-008	5.38596e-009
0.2801	-0.0273437	1.23449e-009	1.26874e-007	8.82856e-009
0.2901	-0.0273437	2.02321e-009	1.94269e-007	1.39765e-008
0.3001	-0.0273437	3.20986e-009	2.88756e-007	2.14463e-008
0.3101	-0.0273437	4.94554e-009	4.17914e-007	3.19967e-008
0.3201	-0.0273437	7.4206e-009	5.90523e-007	4.65423e-008
0.3301	-0.0273437	1.08701e-008	8.16592e-007	6.61642e-008
0.3401	-0.0273437	1.55789e-008	1.10737e-006	9.21195e-008
0.3501	-0.0273437	2.1887e-008	1.47534e-006	1.25848e-007
0.3601	-0.0273437	3.01943e-008	1.93423e-006	1.68978e-007
0.3701	-0.0273437	4.09651e-008	2.49899e-006	2.2333e-007
0.3801	-0.0273436	5.47325e-008	3.1858e-006	2.90916e-007
0.3901	-0.0273436	7.21021e-008	4.01202e-006	3.73945e-007
0.4001	-0.0273436	9.37559e-008	4.99622e-006	4.74818e-007
0.4101	-0.0273435	1.20455e-007	6.15814e-006	5.96129e-007
0.4201	-0.0273434	1.53043e-007	7.51865e-006	7.40659e-007
0.4301	-0.0273434	1.92449e-007	9.09981e-006	9.1138e-007
0.4401	-0.0273433	2.39689e-007	1.09247e-005	1.11144e-006
0.4501	-0.0273431	2.95868e-007	1.30177e-005	1.34418e-006
0.4601	-0.027343	3.62182e-007	1.54041e-005	1.61309e-006
0.4701	-0.0273428	4.39921e-007	1.81101e-005	1.92186e-006
0.4801	-0.0273426	5.30466e-007	2.11632e-005	2.27431e-006
0.4901	-0.0273424	6.35294e-007	2.45918e-005	2.67444e-006
0.5001	-0.0273421	7.55978e-007	2.84251e-005	3.12639e-006
0.5101	-0.0273418	8.94184e-007	3.26932e-005	3.63444e-006
0.5201	-0.0273415	1.05168e-006	3.74272e-005	4.20301e-006
0.5301	-0.0273411	1.23031e-006	4.26587e-005	4.83665e-006
0.5401	-0.0273406	1.43204e-006	4.84202e-005	5.54001e-006
0.5501	-0.0273401	1.65892e-006	5.47447e-005	6.31785e-006
0.5601	-0.0273395	1.91308e-006	6.1666e-005	7.17504e-006
0.5701	-0.0273389	2.19675e-006	6.92181e-005	8.11651e-006
0.5801	-0.0273381	2.51225e-006	7.74357e-005	9.14728e-006
0.5901	-0.0273373	2.86198e-006	8.63537e-005	1.02724e-005
0.6001	-0.0273364	3.24845e-006	9.60072e-005	1.1497e-005
0.6101	-0.0273354	3.67422e-006	0.000106432	1.28263e-005
0.6201	-0.0273343	4.14194e-006	0.000117663	1.42653e-005
0.6301	-0.027333	4.65434e-006	0.000129736	1.58193e-005
0.6401	-0.0273317	5.21421e-006	0.000142687	1.74933e-005
0.6501	-0.0273302	5.82443e-006	0.000156552	1.92925e-005
0.6601	-0.0273285	6.4879e-006	0.000171365	2.1222e-005
0.6701	-0.0273268	7.20763e-006	0.000187162	2.32866e-005
0.6801	-0.0273248	7.98663e-006	0.000203978	2.54914e-005
0.6901	-0.0273227	8.82801e-006	0.000221847	2.7841e-005
0.7001	-0.0273204	9.73487e-006	0.000240804	3.03402e-005
0.7101	-0.0273179	1.07104e-005	0.000260883	3.29934e-005
0.7201	-0.0273151	1.17577e-005	0.000282116	3.5805e-005
0.7301	-0.0273122	1.28801e-005	0.000304538	3.87792e-005
0.7401	-0.027309	1.40807e-005	0.00032818	4.19199e-005
0.7501	-0.0273056	1.53628e-005	0.000353073	4.52309e-005
0.7601	-0.027302	1.67297e-005	0.000379251	4.87156e-005
0.7701	-0.027298	1.81844e-005	0.000406742	5.23774e-005
0.7801	-0.0272938	1.97304e-005	0.000435578	5.62191e-005
0.7901	-0.0272893	2.13706e-005	0.000465787	6.02435e-005
0.8001	-0.0272845	2.31084e-005	0.000497399	6.44531e-005
0.8101	-0.0272794	2.49468e-005	0.000530442	6.88498e-005
0.8201	-0.0272739	2.68888e-005	0.000564943	7.34353e-005
0.8301	-0.0272681	2.89376e-005	0.000600929	7.82112e-005
0.8401	-0.0272619	3.1096e-005	0.000638427	8.31785e-005
0.8501	-0.0272553	3.3367e-005	0.000677463	8.83379e-005
0.8601	-0.0272483	3.57534e-005	0.000718062	9.36897e-005
0.8701	-0.0272409	3.82579e-005	0.000760248	9.92339e-005
0.8801	-0.0272331	4.08831e-005	0.000804046	0.00010497
0.8901	-0.0272248	4.36317e-005	0.00084948	0.000110898
0.9001	-0.0272161	4.65059e-005	0.000896572	0.000117015
0.9101	-0.0272069	4.95082e-005	0.000945345	0.000123321
0.9201	-0.0271972	5.26408e-005	0.000995822	0.000129815
0.9301	-0.027187	5.59057e-005	0.00104803	0.000136492
0.9401	-0.0271762	5.9305e-005	0.00110198	0.000143352
0.9501	-0.0271649	6.28403e-005	0.0011577	0.000150391
0.9601	-0.0271531	6.65135e-005	0.0012152	0.000157606
0.9701	-0.0271406	7.03261e-005	0.00127453	0.000164993
