#H	log(g(EgsH))	g(EgsH)	EgsH
0	4.15888	64	-82
0.01	0	1	-82.18
0.02	0	1	-82.36
0.03	0	1	-82.54
0.04	0	1	-82.72
0.05	0	1	-82.9
0.06	0	1	-83.08
0.07	0	1	-83.26
0.08	0	1	-83.44
0.09	0	1	-83.62
0.1	0	1	-83.8
0.1	0	1	-83.8
0.11	0	1	-83.98
0.111111	0	1	-84
0.12	0	1	-84.16
0.125	0	1	-84.25
0.13	0	1	-84.34
0.14	0	1	-84.52
0.142857	0	1	-84.5714
0.15	0	1	-84.7
0.16	0	1	-84.88
0.166667	0	1	-85
0.17	0	1	-85.06
0.18	0	1	-85.24
0.19	0	1	-85.42
0.2	0.693147	2	-85.6
0.2	0.693147	2	-85.6
0.2	0.693147	2	-85.6
0.21	0	1	-85.88
0.22	0	1	-86.16
0.222222	0	1	-86.2222
0.23	0	1	-86.44
0.24	0	1	-86.72
0.25	0	1	-87
0.25	0	1	-87
0.25	0	1	-87
0.26	0	1	-87.28
0.27	0	1	-87.56
0.28	0	1	-87.84
0.285714	0	1	-88
0.29	0	1	-88.12
0.3	0	1	-88.4
0.3	0	1	-88.4
0.31	0	1	-88.68
0.32	0	1	-88.96
0.33	0	1	-89.24
0.333333	0	1	-89.3333
0.333333	0	1	-89.3333
0.333333	0	1	-89.3333
0.34	0	1	-89.52
0.35	0	1	-89.8
0.36	0	1	-90.08
0.37	0	1	-90.36
0.375	0	1	-90.5
0.38	0	1	-90.64
0.39	0	1	-90.92
0.4	0	1	-91.2
0.4	0	1	-91.2
0.4	0	1	-91.2
0.41	0	1	-91.48
0.42	0	1	-91.76
0.428571	0	1	-92
0.43	0	1	-92.04
0.44	0	1	-92.32
0.444444	0	1	-92.4444
0.45	0	1	-92.6
0.46	0	1	-92.88
0.47	0	1	-93.16
0.48	0	1	-93.44
0.49	0	1	-93.72
0.5	0	1	-94
0.5	0	1	-94
0.5	0	1	-94
0.5	0	1	-94
0.5	0	1	-94
0.5	0	1	-94
0.51	0	1	-94.28
0.52	0	1	-94.56
0.53	0	1	-94.84
0.54	0	1	-95.12
0.55	0	1	-95.4
0.555556	0	1	-95.5556
0.56	0	1	-95.68
0.57	0	1	-95.96
0.571429	0	1	-96
0.58	0	1	-96.24
0.59	0	1	-96.52
0.6	0	1	-96.8
0.6	0	1	-96.8
0.6	0	1	-96.8
0.61	0	1	-97.08
0.62	0	1	-97.36
0.625	0	1	-97.5
0.63	0	1	-97.64
0.64	0	1	-97.92
0.65	0	1	-98.2
0.66	0	1	-98.48
0.666667	0	1	-98.6667
0.666667	0	1	-98.6667
0.666667	0	1	-98.6667
0.67	0	1	-98.76
0.68	0	1	-99.04
0.69	0	1	-99.32
0.7	0	1	-99.6
0.7	0	1	-99.6
0.71	0	1	-99.88
0.714286	0	1	-100
0.72	0	1	-100.16
0.73	0	1	-100.44
0.74	0	1	-100.72
0.75	0	1	-101
0.75	0	1	-101
0.75	0	1	-101
0.76	0	1	-101.28
0.77	0	1	-101.56
0.777778	0	1	-101.778
0.78	0	1	-101.84
0.79	0	1	-102.12
0.8	0	1	-102.4
0.8	0	1	-102.4
0.8	0	1	-102.4
0.81	0	1	-102.68
0.82	0	1	-102.96
0.83	0	1	-103.24
0.833333	0	1	-103.333
0.84	0	1	-103.52
0.85	0	1	-103.8
0.857143	0	1	-104
0.86	0	1	-104.08
0.87	0	1	-104.36
0.875	0	1	-104.5
0.88	0	1	-104.64
0.888889	0	1	-104.889
0.89	0	1	-104.92
0.9	0	1	-105.2
0.9	0	1	-105.2
0.91	0	1	-105.48
0.92	0	1	-105.76
0.93	0	1	-106.04
0.94	0	1	-106.32
0.95	0	1	-106.6
0.96	0	1	-106.88
0.97	0	1	-107.16
0.98	0	1	-107.44
0.99	0	1	-107.72
1	2.63906	14	-108
1.01	0	1	-108.34
1.02	0	1	-108.68
1.03	0	1	-109.02
1.04	0	1	-109.36
1.05	0	1	-109.7
1.06	0	1	-110.04
1.07	0	1	-110.38
1.08	0	1	-110.72
1.09	0	1	-111.06
1.1	0	1	-111.4
1.11	0	1	-111.74
1.12	0	1	-112.08
1.125	0	1	-112.25
1.13	0	1	-112.42
1.14	0	1	-112.76
1.14286	0	1	-112.857
1.15	0	1	-113.1
1.16	0	1	-113.44
1.16667	0	1	-113.667
1.17	0	1	-113.78
1.18	0	1	-114.12
1.19	0	1	-114.46
1.2	0	1	-114.8
1.2	0	1	-114.8
1.21	0	1	-115.14
1.22	0	1	-115.48
1.23	0	1	-115.82
1.24	0	1	-116.16
1.25	0	1	-116.5
1.25	0	1	-116.5
1.26	0	1	-116.84
1.27	0	1	-117.18
1.28	0	1	-117.52
1.28571	0	1	-117.714
1.29	0	1	-117.86
1.3	0	1	-118.2
1.31	0	1	-118.54
1.32	0	1	-118.88
1.33	0	1	-119.22
1.33333	1.79176	6	-119.333
1.33333	1.79176	6	-119.333
1.34	0.693147	2	-119.64
1.35	0.693147	2	-120.1
1.36	0.693147	2	-120.56
1.37	0.693147	2	-121.02
1.38	0.693147	2	-121.48
1.39	0.693147	2	-121.94
1.4	0.693147	2	-122.4
1.4	0.693147	2	-122.4
1.41	0.693147	2	-122.86
1.42	0.693147	2	-123.32
1.43	0.693147	2	-123.78
1.44	0.693147	2	-124.24
1.45	0.693147	2	-124.7
1.46	0.693147	2	-125.16
1.47	0.693147	2	-125.62
1.48	0.693147	2	-126.08
1.49	0.693147	2	-126.54
1.5	0.693147	2	-127
1.5	0.693147	2	-127
1.5	0.693147	2	-127
1.5	0.693147	2	-127
1.51	0.693147	2	-127.46
1.52	0.693147	2	-127.92
1.53	0.693147	2	-128.38
1.54	0.693147	2	-128.84
1.55	0.693147	2	-129.3
1.56	0.693147	2	-129.76
1.57	0.693147	2	-130.22
1.58	0.693147	2	-130.68
1.59	0.693147	2	-131.14
1.6	0.693147	2	-131.6
1.6	0.693147	2	-131.6
1.61	0.693147	2	-132.06
1.62	0.693147	2	-132.52
1.63	0.693147	2	-132.98
1.64	0.693147	2	-133.44
1.65	0.693147	2	-133.9
1.66	0.693147	2	-134.36
1.66667	0.693147	2	-134.667
1.67	0.693147	2	-134.82
1.68	0.693147	2	-135.28
1.69	0.693147	2	-135.74
1.7	0.693147	2	-136.2
1.71	0.693147	2	-136.66
1.72	0.693147	2	-137.12
1.73	0.693147	2	-137.58
1.74	0.693147	2	-138.04
1.75	0.693147	2	-138.5
1.75	0.693147	2	-138.5
