#H	M_sred	M2_sred	Xi
0	10.5	126	38.4521
0.01	18	324	0
0.02	18	324	0
0.03	18	324	0
0.04	18	324	0
0.05	18	324	0
0.06	18	324	0
0.07	18	324	0
0.08	18	324	0
0.09	18	324	0
0.1	18	324	0
0.1	18	324	0
0.11	18	324	0
0.111111	18	324	0
0.12	18	324	0
0.125	18	324	0
0.13	18	324	0
0.14	18	324	0
0.142857	18	324	0
0.15	18	324	0
0.16	18	324	0
0.166667	18	324	0
0.17	18	324	0
0.18	18	324	0
0.19	18	324	0
0.2	23	554	61.0352
0.2	23	554	61.0352
0.2	23	554	61.0352
0.21	28	784	0
0.22	28	784	0
0.222222	28	784	0
0.23	28	784	0
0.24	28	784	0
0.25	28	784	0
0.25	28	784	0
0.25	28	784	0
0.26	28	784	0
0.27	28	784	0
0.28	28	784	0
0.285714	28	784	0
0.29	28	784	0
0.3	28	784	0
0.3	28	784	0
0.31	28	784	0
0.32	28	784	0
0.33	28	784	0
0.333333	28	784	0
0.333333	28	784	0
0.333333	28	784	0
0.34	28	784	0
0.35	28	784	0
0.36	28	784	0
0.37	28	784	0
0.375	28	784	0
0.38	28	784	0
0.39	28	784	0
0.4	28	784	0
0.4	28	784	0
0.4	28	784	0
0.41	28	784	0
0.42	28	784	0
0.428571	28	784	0
0.43	28	784	0
0.44	28	784	0
0.444444	28	784	0
0.45	28	784	0
0.46	28	784	0
0.47	28	784	0
0.48	28	784	0
0.49	28	784	0
0.5	28	784	0
0.5	28	784	0
0.5	28	784	0
0.5	28	784	0
0.5	28	784	0
0.5	28	784	0
0.51	28	784	0
0.52	28	784	0
0.53	28	784	0
0.54	28	784	0
0.55	28	784	0
0.555556	28	784	0
0.56	28	784	0
0.57	28	784	0
0.571429	28	784	0
0.58	28	784	0
0.59	28	784	0
0.6	28	784	0
0.6	28	784	0
0.6	28	784	0
0.61	28	784	0
0.62	28	784	0
0.625	28	784	0
0.63	28	784	0
0.64	28	784	0
0.65	28	784	0
0.66	28	784	0
0.666667	28	784	0
0.666667	28	784	0
0.666667	28	784	0
0.67	28	784	0
0.68	28	784	0
0.69	28	784	0
0.7	28	784	0
0.7	28	784	0
0.71	28	784	0
0.714286	28	784	0
0.72	28	784	0
0.73	28	784	0
0.74	28	784	0
0.75	28	784	0
0.75	28	784	0
0.75	28	784	0
0.76	28	784	0
0.77	28	784	0
0.777778	28	784	0
0.78	28	784	0
0.79	28	784	0
0.8	28	784	0
0.8	28	784	0
0.8	28	784	0
0.81	28	784	0
0.82	28	784	0
0.83	28	784	0
0.833333	28	784	0
0.84	28	784	0
0.85	28	784	0
0.857143	28	784	0
0.86	28	784	0
0.87	28	784	0
0.875	28	784	0
0.88	28	784	0
0.888889	28	784	0
0.89	28	784	0
0.9	28	784	0
0.9	28	784	0
0.91	28	784	0
0.92	28	784	0
0.93	28	784	0
0.94	28	784	0
0.95	28	784	0
0.96	28	784	0
0.97	28	784	0
0.98	28	784	0
0.99	28	784	0
1	30.8571	954.286	5.18176
1.01	34	1156	0
1.02	34	1156	0
