#T	E/N	M/N	C/N	Xi/N
0.0001	-0.0200195	0.00256348	0	38.4521
0.0101	-0.0200195	0.00256348	0	0.380714
0.0201	-0.0200195	0.00256348	0	0.191304
0.0301	-0.0200195	0.00256348	0	0.127748
0.0401	-0.0200195	0.00256348	0	0.0958906
0.0501	-0.0200195	0.00256348	0	0.0767508
0.0601	-0.0200195	0.00256348	1.22948e-013	0.0639803
0.0701	-0.0200195	0.00256348	3.20821e-012	0.0548533
0.0801	-0.0200195	0.00256348	8.91153e-011	0.0480052
0.0901	-0.0200195	0.00256348	1.12568e-009	0.0426772
0.1001	-0.0200195	0.00256348	8.37706e-009	0.0384137
0.1101	-0.0200195	0.00256348	4.25104e-008	0.0349248
0.1201	-0.0200195	0.00256348	1.62128e-007	0.0320169
0.1301	-0.0200195	0.00256347	4.96914e-007	0.0295562
0.1401	-0.0200195	0.00256347	1.28378e-006	0.0274471
0.1501	-0.0200195	0.00256345	2.8949e-006	0.0256199
0.1601	-0.0200195	0.00256341	5.84817e-006	0.0240224
0.1701	-0.0200194	0.00256333	1.07962e-005	0.022615
0.1801	-0.0200192	0.0025632	1.84951e-005	0.0213675
0.1901	-0.020019	0.00256299	2.97586e-005	0.0202562
0.2001	-0.0200186	0.00256265	4.54048e-005	0.0192629
0.2101	-0.0200181	0.00256215	6.62019e-005	0.0183729
0.2201	-0.0200173	0.00256144	9.28179e-005	0.0175747
0.2301	-0.0200162	0.00256045	0.000125778	0.016859
0.2401	-0.0200147	0.00255914	0.000165434	0.0162181
0.2501	-0.0200129	0.00255745	0.000211938	0.0156459
0.2601	-0.0200105	0.00255531	0.00026524	0.0151367
0.2701	-0.0200075	0.00255266	0.000325078	0.0146861
0.2801	-0.020004	0.00254947	0.000390998	0.0142896
0.2901	-0.0199997	0.00254567	0.000462367	0.0139434
0.3001	-0.0199947	0.00254125	0.000538404	0.0136436
0.3101	-0.0199889	0.00253616	0.000618215	0.0133866
0.3201	-0.0199823	0.00253039	0.000700828	0.0131687
0.3301	-0.0199749	0.00252395	0.000785238	0.0129865
0.3401	-0.0199666	0.00251684	0.000870449	0.0128362
0.3501	-0.0199575	0.00250908	0.000955507	0.0127144
0.3601	-0.0199475	0.0025007	0.00103954	0.0126177
0.3701	-0.0199367	0.00249174	0.00112179	0.0125426
0.3801	-0.0199251	0.00248225	0.00120163	0.0124859
0.3901	-0.0199127	0.00247229	0.00127855	0.0124447
0.4001	-0.0198995	0.00246192	0.00135222	0.012416
0.4101	-0.0198856	0.00245119	0.00142244	0.0123972
0.4201	-0.0198711	0.00244018	0.00148913	0.0123859
0.4301	-0.0198559	0.00242895	0.00155237	0.0123801
0.4401	-0.01984	0.00241756	0.00161231	0.0123777
0.4501	-0.0198236	0.00240607	0.0016692	0.0123773
0.4601	-0.0198067	0.00239454	0.00172335	0.0123775
0.4701	-0.0197892	0.00238302	0.00177511	0.012377
0.4801	-0.0197712	0.00237156	0.00182488	0.012375
0.4901	-0.0197527	0.0023602	0.00187305	0.0123707
0.5001	-0.0197337	0.00234897	0.00192001	0.0123636
0.5101	-0.0197143	0.00233792	0.00196614	0.0123531
0.5201	-0.0196944	0.00232706	0.0020118	0.012339
0.5301	-0.0196741	0.00231642	0.00205733	0.012321
0.5401	-0.0196532	0.00230602	0.00210302	0.0122991
0.5501	-0.019632	0.00229587	0.00214912	0.0122732
0.5601	-0.0196103	0.00228598	0.00219588	0.0122433
0.5701	-0.0195881	0.00227636	0.00224347	0.0122094
0.5801	-0.0195654	0.00226701	0.00229204	0.0121716
0.5901	-0.0195422	0.00225793	0.00234173	0.0121301
0.6001	-0.0195186	0.00224913	0.00239262	0.012085
0.6101	-0.0194944	0.0022406	0.00244476	0.0120363
0.6201	-0.0194697	0.00223234	0.00249821	0.0119843
0.6301	-0.0194444	0.00222434	0.00255296	0.0119291
0.6401	-0.0194186	0.0022166	0.00260901	0.0118708
0.6501	-0.0193922	0.00220911	0.00266634	0.0118097
0.6601	-0.0193653	0.00220186	0.0027249	0.0117457
0.6701	-0.0193377	0.00219484	0.00278466	0.0116792
0.6801	-0.0193096	0.00218805	0.00284554	0.0116102
0.6901	-0.0192808	0.00218147	0.00290747	0.0115388
0.7001	-0.0192514	0.00217511	0.00297039	0.0114652
0.7101	-0.0192214	0.00216894	0.0030342	0.0113895
0.7201	-0.0191907	0.00216297	0.00309882	0.0113118
0.7301	-0.0191594	0.00215717	0.00316417	0.0112323
0.7401	-0.0191274	0.00215155	0.00323016	0.011151
0.7501	-0.0190948	0.00214609	0.00329669	0.0110682
0.7601	-0.0190615	0.00214079	0.00336368	0.0109838
0.7701	-0.0190275	0.00213563	0.00343105	0.0108979
0.7801	-0.0189929	0.00213061	0.00349869	0.0108108
0.7901	-0.0189576	0.00212572	0.00356653	0.0107224
0.8001	-0.0189215	0.00212095	0.00363449	0.0106329
0.8101	-0.0188849	0.0021163	0.00370248	0.0105424
0.8201	-0.0188475	0.00211175	0.00377043	0.010451
0.8301	-0.0188095	0.0021073	0.00383826	0.0103587
0.8401	-0.0187707	0.00210295	0.00390589	0.0102657
0.8501	-0.0187313	0.00209868	0.00397326	0.0101721
0.8601	-0.0186913	0.00209449	0.0040403	0.0100778
0.8701	-0.0186505	0.00209037	0.00410694	0.00998313
0.8801	-0.0186091	0.00208631	0.00417313	0.00988802
0.8901	-0.0185671	0.00208232	0.00423879	0.0097926
0.9001	-0.0185244	0.00207838	0.00430389	0.00969694
