#H	log(g(EgsH))	g(EgsH)	EgsH
0	14.9822	3211264	-62
0.01	0.693147	2	-62.26
0.02	0.693147	2	-62.52
0.03	0.693147	2	-62.78
0.04	0.693147	2	-63.04
0.05	0.693147	2	-63.3
0.06	0.693147	2	-63.56
0.07	0.693147	2	-63.82
0.08	0.693147	2	-64.08
0.09	0.693147	2	-64.34
0.1	0.693147	2	-64.6
0.1	0.693147	2	-64.6
0.11	0.693147	2	-64.86
0.111111	0.693147	2	-64.8889
0.12	0.693147	2	-65.12
0.125	0.693147	2	-65.25
0.13	0.693147	2	-65.38
0.14	0.693147	2	-65.64
0.142857	0.693147	2	-65.7143
0.15	0.693147	2	-65.9
0.16	0.693147	2	-66.16
0.166667	0.693147	2	-66.3333
0.17	0.693147	2	-66.42
0.18	0.693147	2	-66.68
0.19	0.693147	2	-66.94
0.2	0.693147	2	-67.2
0.2	0.693147	2	-67.2
0.2	0.693147	2	-67.2
0.21	0.693147	2	-67.46
0.22	0.693147	2	-67.72
0.222222	0.693147	2	-67.7778
0.23	0.693147	2	-67.98
0.24	0.693147	2	-68.24
0.25	0.693147	2	-68.5
0.25	0.693147	2	-68.5
0.25	0.693147	2	-68.5
0.26	0.693147	2	-68.76
0.27	0.693147	2	-69.02
0.28	0.693147	2	-69.28
0.285714	0.693147	2	-69.4286
0.29	0.693147	2	-69.54
0.3	0.693147	2	-69.8
0.3	0.693147	2	-69.8
0.31	0.693147	2	-70.06
0.32	0.693147	2	-70.32
0.33	0.693147	2	-70.58
0.333333	0.693147	2	-70.6667
0.333333	0.693147	2	-70.6667
0.333333	0.693147	2	-70.6667
0.34	0.693147	2	-70.84
0.35	0.693147	2	-71.1
0.36	0.693147	2	-71.36
0.37	0.693147	2	-71.62
0.375	0.693147	2	-71.75
0.38	0.693147	2	-71.88
0.39	0.693147	2	-72.14
0.4	0.693147	2	-72.4
0.4	0.693147	2	-72.4
0.4	0.693147	2	-72.4
0.41	0.693147	2	-72.66
0.42	0.693147	2	-72.92
0.428571	0.693147	2	-73.1429
0.43	0.693147	2	-73.18
0.44	0.693147	2	-73.44
0.444444	0.693147	2	-73.5556
0.45	0.693147	2	-73.7
0.46	0.693147	2	-73.96
0.47	0.693147	2	-74.22
0.48	0.693147	2	-74.48
0.49	0.693147	2	-74.74
0.5	2.30259	10	-75
0.5	2.30259	10	-75
0.5	2.30259	10	-75
0.5	2.30259	10	-75
0.5	2.30259	10	-75
0.5	2.30259	10	-75
0.51	2.07944	8	-75.3
0.52	2.07944	8	-75.6
0.53	2.07944	8	-75.9
0.54	2.07944	8	-76.2
0.55	2.07944	8	-76.5
0.555556	2.07944	8	-76.6667
0.56	2.07944	8	-76.8
0.57	2.07944	8	-77.1
0.571429	2.07944	8	-77.1429
0.58	2.07944	8	-77.4
0.59	2.07944	8	-77.7
0.6	2.07944	8	-78
0.6	2.07944	8	-78
0.6	2.07944	8	-78
0.61	2.07944	8	-78.3
0.62	2.07944	8	-78.6
0.625	2.07944	8	-78.75
0.63	2.07944	8	-78.9
0.64	2.07944	8	-79.2
0.65	2.07944	8	-79.5
0.66	2.07944	8	-79.8
0.666667	2.07944	8	-80
0.666667	2.07944	8	-80
0.666667	2.07944	8	-80
0.67	2.07944	8	-80.1
0.68	2.07944	8	-80.4
0.69	2.07944	8	-80.7
0.7	2.07944	8	-81
0.7	2.07944	8	-81
0.71	2.07944	8	-81.3
0.714286	2.07944	8	-81.4286
0.72	2.07944	8	-81.6
0.73	2.07944	8	-81.9
0.74	2.07944	8	-82.2
0.75	2.07944	8	-82.5
0.75	2.07944	8	-82.5
0.75	2.07944	8	-82.5
0.76	2.07944	8	-82.8
0.77	2.07944	8	-83.1
0.777778	2.07944	8	-83.3333
0.78	2.07944	8	-83.4
0.79	2.07944	8	-83.7
0.8	2.07944	8	-84
0.8	2.07944	8	-84
0.8	2.07944	8	-84
0.81	2.07944	8	-84.3
0.82	2.07944	8	-84.6
0.83	2.07944	8	-84.9
0.833333	2.07944	8	-85
0.84	2.07944	8	-85.2
0.85	2.07944	8	-85.5
0.857143	2.07944	8	-85.7143
0.86	2.07944	8	-85.8
0.87	2.07944	8	-86.1
0.875	2.07944	8	-86.25
0.88	2.07944	8	-86.4
0.888889	2.07944	8	-86.6667
0.89	2.07944	8	-86.7
0.9	2.07944	8	-87
0.9	2.07944	8	-87
0.91	2.07944	8	-87.3
0.92	2.07944	8	-87.6
0.93	2.07944	8	-87.9
0.94	2.07944	8	-88.2
0.95	2.07944	8	-88.5
0.96	2.07944	8	-88.8
0.97	2.07944	8	-89.1
0.98	2.07944	8	-89.4
0.99	2.07944	8	-89.7
1	7.79235	2422	-90
1.01	5.2575	192	-90.42
1.02	5.2575	192	-90.84
1.03	5.2575	192	-91.26
1.04	5.2575	192	-91.68
1.05	5.2575	192	-92.1
1.06	5.2575	192	-92.52
1.07	5.2575	192	-92.94
1.08	5.2575	192	-93.36
1.09	5.2575	192	-93.78
1.1	5.2575	192	-94.2
1.11	5.2575	192	-94.62
1.12	5.2575	192	-95.04
1.125	5.2575	192	-95.25
1.13	5.2575	192	-95.46
1.14	5.2575	192	-95.88
1.14286	5.2575	192	-96
1.15	5.2575	192	-96.3
1.16	5.2575	192	-96.72
1.16667	5.2575	192	-97
1.17	5.2575	192	-97.14
1.18	5.2575	192	-97.56
1.19	5.2575	192	-97.98
1.2	5.2575	192	-98.4
1.2	5.2575	192	-98.4
1.21	5.2575	192	-98.82
1.22	5.2575	192	-99.24
1.23	5.2575	192	-99.66
1.24	5.2575	192	-100.08
1.25	5.2575	192	-100.5
1.25	5.2575	192	-100.5
1.26	5.2575	192	-100.92
1.27	5.2575	192	-101.34
1.28	5.2575	192	-101.76
1.28571	5.2575	192	-102
1.29	5.2575	192	-102.18
1.3	5.2575	192	-102.6
1.31	5.2575	192	-103.02
1.32	5.2575	192	-103.44
1.33	5.2575	192	-103.86
1.33333	5.2575	192	-104
1.33333	5.2575	192	-104
1.34	5.2575	192	-104.28
1.35	5.2575	192	-104.7
1.36	5.2575	192	-105.12
1.37	5.2575	192	-105.54
1.38	5.2575	192	-105.96
1.39	5.2575	192	-106.38
1.4	5.2575	192	-106.8
1.4	5.2575	192	-106.8
1.41	5.2575	192	-107.22
1.42	5.2575	192	-107.64
1.43	5.2575	192	-108.06
1.44	5.2575	192	-108.48
1.45	5.2575	192	-108.9
1.46	5.2575	192	-109.32
1.47	5.2575	192	-109.74
1.48	5.2575	192	-110.16
1.49	5.2575	192	-110.58
1.5	5.2575	192	-111
1.5	5.2575	192	-111
1.5	5.2575	192	-111
1.5	5.2575	192	-111
1.51	5.2575	192	-111.42
1.52	5.2575	192	-111.84
1.53	5.2575	192	-112.26
1.54	5.2575	192	-112.68
1.55	5.2575	192	-113.1
1.56	5.2575	192	-113.52
1.57	5.2575	192	-113.94
1.58	5.2575	192	-114.36
1.59	5.2575	192	-114.78
1.6	5.2575	192	-115.2
1.6	5.2575	192	-115.2
1.61	5.2575	192	-115.62
1.62	5.2575	192	-116.04
1.63	5.2575	192	-116.46
1.64	5.2575	192	-116.88
1.65	5.2575	192	-117.3
1.66	5.2575	192	-117.72
1.66667	5.2575	192	-118
1.67	5.2575	192	-118.14
1.68	5.2575	192	-118.56
1.69	5.2575	192	-118.98
1.7	5.2575	192	-119.4
1.71	5.2575	192	-119.82
1.72	5.2575	192	-120.24
1.73	5.2575	192	-120.66
1.74	5.2575	192	-121.08
1.75	5.2575	192	-121.5
1.75	5.2575	192	-121.5
1.76	5.2575	192	-121.92
1.77	5.2575	192	-122.34
1.78	5.2575	192	-122.76
1.79	5.2575	192	-123.18
1.8	5.2575	192	-123.6
1.8	5.2575	192	-123.6
1.81	5.2575	192	-124.02
1.82	5.2575	192	-124.44
1.83	5.2575	192	-124.86
1.84	5.2575	192	-125.28
1.85	5.2575	192	-125.7
1.86	5.2575	192	-126.12
1.87	5.2575	192	-126.54
1.88	5.2575	192	-126.96
1.89	5.2575	192	-127.38
1.9	5.2575	192	-127.8
1.91	5.2575	192	-128.22
1.92	5.2575	192	-128.64
1.93	5.2575	192	-129.06
1.94	5.2575	192	-129.48
1.95	5.2575	192	-129.9
1.96	5.2575	192	-130.32
1.97	5.2575	192	-130.74
1.98	5.2575	192	-131.16
1.99	5.2575	192	-131.58
2	10.2322	27783	-132
2	10.2322	27783	-132
2	10.2322	27783	-132
2	10.2322	27783	-132
2.01	1.09861	3	-132.6
2.02	1.09861	3	-133.2
2.03	1.09861	3	-133.8
2.04	1.09861	3	-134.4
2.05	1.09861	3	-135
2.06	1.09861	3	-135.6
2.07	1.09861	3	-136.2
2.08	1.09861	3	-136.8
2.09	1.09861	3	-137.4
2.1	1.09861	3	-138
2.11	1.09861	3	-138.6
2.12	1.09861	3	-139.2
2.13	1.09861	3	-139.8
2.14	1.09861	3	-140.4
2.15	1.09861	3	-141
2.16	1.09861	3	-141.6
2.17	1.09861	3	-142.2
2.18	1.09861	3	-142.8
2.19	1.09861	3	-143.4
2.2	1.09861	3	-144
2.21	1.09861	3	-144.6
2.22	1.09861	3	-145.2
2.23	1.09861	3	-145.8
2.24	1.09861	3	-146.4
2.25	1.09861	3	-147
2.25	1.09861	3	-147
2.26	1.09861	3	-147.6
2.27	1.09861	3	-148.2
2.28	1.09861	3	-148.8
2.29	1.09861	3	-149.4
2.3	1.09861	3	-150
2.31	1.09861	3	-150.6
2.32	1.09861	3	-151.2
2.33	1.09861	3	-151.8
2.33333	1.09861	3	-152
2.34	1.09861	3	-152.4
2.35	1.09861	3	-153
2.36	1.09861	3	-153.6
2.37	1.09861	3	-154.2
2.38	1.09861	3	-154.8
2.39	1.09861	3	-155.4
2.4	1.09861	3	-156
2.41	1.09861	3	-156.6
2.42	1.09861	3	-157.2
2.43	1.09861	3	-157.8
2.44	1.09861	3	-158.4
2.45	1.09861	3	-159
2.46	1.09861	3	-159.6
2.47	1.09861	3	-160.2
2.48	1.09861	3	-160.8
2.49	1.09861	3	-161.4
2.5	1.09861	3	-162
2.5	1.09861	3	-162
2.51	1.09861	3	-162.6
2.52	1.09861	3	-163.2
2.53	1.09861	3	-163.8
2.54	1.09861	3	-164.4
2.55	1.09861	3	-165
2.56	1.09861	3	-165.6
2.57	1.09861	3	-166.2
2.58	1.09861	3	-166.8
2.59	1.09861	3	-167.4
2.6	1.09861	3	-168
2.61	1.09861	3	-168.6
2.62	1.09861	3	-169.2
2.63	1.09861	3	-169.8
2.64	1.09861	3	-170.4
2.65	1.09861	3	-171
2.66	1.09861	3	-171.6
2.66667	1.09861	3	-172
2.67	1.09861	3	-172.2
2.68	1.09861	3	-172.8
2.69	1.09861	3	-173.4
2.7	1.09861	3	-174
2.71	1.09861	3	-174.6
2.72	1.09861	3	-175.2
2.73	1.09861	3	-175.8
2.74	1.09861	3	-176.4
2.75	1.09861	3	-177
2.76	1.09861	3	-177.6
2.77	1.09861	3	-178.2
2.78	1.09861	3	-178.8
2.79	1.09861	3	-179.4
2.8	1.09861	3	-180
2.81	1.09861	3	-180.6
2.82	1.09861	3	-181.2
2.83	1.09861	3	-181.8
2.84	1.09861	3	-182.4
2.85	1.09861	3	-183
2.86	1.09861	3	-183.6
2.87	1.09861	3	-184.2
2.88	1.09861	3	-184.8
2.89	1.09861	3	-185.4
2.9	1.09861	3	-186
2.91	1.09861	3	-186.6
2.92	1.09861	3	-187.2
2.93	1.09861	3	-187.8
2.94	1.09861	3	-188.4
2.95	1.09861	3	-189
2.96	1.09861	3	-189.6
2.97	1.09861	3	-190.2
2.98	1.09861	3	-190.8
2.99	1.09861	3	-191.4
3	2.07944	8	-192
3	2.07944	8	-192
3	2.07944	8	-192
3.01	0	1	-192.64
3.02	0	1	-193.28
3.03	0	1	-193.92
3.04	0	1	-194.56
3.05	0	1	-195.2
3.06	0	1	-195.84
3.07	0	1	-196.48
3.08	0	1	-197.12
3.09	0	1	-197.76
3.1	0	1	-198.4
3.11	0	1	-199.04
3.12	0	1	-199.68
3.13	0	1	-200.32
3.14	0	1	-200.96
3.15	0	1	-201.6
3.16	0	1	-202.24
3.17	0	1	-202.88
3.18	0	1	-203.52
3.19	0	1	-204.16
3.2	0	1	-204.8
3.21	0	1	-205.44
3.22	0	1	-206.08
3.23	0	1	-206.72
3.24	0	1	-207.36
3.25	0	1	-208
3.26	0	1	-208.64
3.27	0	1	-209.28
3.28	0	1	-209.92
3.29	0	1	-210.56
3.3	0	1	-211.2
3.31	0	1	-211.84
3.32	0	1	-212.48
3.33	0	1	-213.12
3.34	0	1	-213.76
3.35	0	1	-214.4
3.36	0	1	-215.04
3.37	0	1	-215.68
3.38	0	1	-216.32
3.39	0	1	-216.96
3.4	0	1	-217.6
3.41	0	1	-218.24
3.42	0	1	-218.88
3.43	0	1	-219.52
3.44	0	1	-220.16
3.45	0	1	-220.8
3.46	0	1	-221.44
3.47	0	1	-222.08
3.48	0	1	-222.72
3.49	0	1	-223.36
3.5	0	1	-224
3.5	0	1	-224
3.51	0	1	-224.64
3.52	0	1	-225.28
3.53	0	1	-225.92
3.54	0	1	-226.56
3.55	0	1	-227.2
3.56	0	1	-227.84
3.57	0	1	-228.48
