#H	M_sred	M2_sred	Xi
0	4.67748	34.4842	30.7749
0.01	26	676	0
0.02	26	676	0
0.03	26	676	0
0.04	26	676	0
0.05	26	676	0
0.06	26	676	0
0.07	26	676	0
0.08	26	676	0
0.09	26	676	0
0.1	26	676	0
0.1	26	676	0
0.11	26	676	0
0.111111	26	676	0
0.12	26	676	0
0.125	26	676	0
0.13	26	676	0
0.14	26	676	0
0.142857	26	676	0
0.15	26	676	0
0.16	26	676	0
0.166667	26	676	0
0.17	26	676	0
0.18	26	676	0
0.19	26	676	0
0.2	26	676	0
0.2	26	676	0
0.2	26	676	0
0.21	26	676	0
0.22	26	676	0
0.222222	26	676	0
0.23	26	676	0
0.24	26	676	0
0.25	26	676	0
0.25	26	676	0
0.25	26	676	0
0.26	26	676	0
0.27	26	676	0
0.28	26	676	0
0.285714	26	676	0
0.29	26	676	0
0.3	26	676	0
0.3	26	676	0
0.31	26	676	0
0.32	26	676	0
0.33	26	676	0
0.333333	26	676	0
0.333333	26	676	0
0.333333	26	676	0
0.34	26	676	0
0.35	26	676	0
0.36	26	676	0
0.37	26	676	0
0.375	26	676	0
0.38	26	676	0
0.39	26	676	0
0.4	26	676	0
0.4	26	676	0
0.4	26	676	0
0.41	26	676	0
0.42	26	676	0
0.428571	26	676	0
0.43	26	676	0
0.44	26	676	0
0.444444	26	676	0
0.45	26	676	0
0.46	26	676	0
0.47	26	676	0
0.48	26	676	0
0.49	26	676	0
0.5	29.2	855.2	6.25
0.5	29.2	855.2	6.25
0.5	29.2	855.2	6.25
0.5	29.2	855.2	6.25
0.5	29.2	855.2	6.25
0.5	29.2	855.2	6.25
0.51	30	900	0
0.52	30	900	0
0.53	30	900	0
0.54	30	900	0
0.55	30	900	0
0.555556	30	900	0
0.56	30	900	0
0.57	30	900	0
0.571429	30	900	0
0.58	30	900	0
0.59	30	900	0
0.6	30	900	0
0.6	30	900	0
0.6	30	900	0
0.61	30	900	0
0.62	30	900	0
0.625	30	900	0
0.63	30	900	0
0.64	30	900	0
0.65	30	900	0
0.66	30	900	0
0.666667	30	900	0
0.666667	30	900	0
0.666667	30	900	0
0.67	30	900	0
0.68	30	900	0
0.69	30	900	0
0.7	30	900	0
0.7	30	900	0
0.71	30	900	0
0.714286	30	900	0
0.72	30	900	0
0.73	30	900	0
0.74	30	900	0
0.75	30	900	0
0.75	30	900	0
0.75	30	900	0
0.76	30	900	0
0.77	30	900	0
0.777778	30	900	0
0.78	30	900	0
0.79	30	900	0
0.8	30	900	0
0.8	30	900	0
0.8	30	900	0
0.81	30	900	0
0.82	30	900	0
0.83	30	900	0
0.833333	30	900	0
0.84	30	900	0
0.85	30	900	0
0.857143	30	900	0
0.86	30	900	0
0.87	30	900	0
0.875	30	900	0
0.88	30	900	0
0.888889	30	900	0
0.89	30	900	0
0.9	30	900	0
0.9	30	900	0
0.91	30	900	0
0.92	30	900	0
0.93	30	900	0
0.94	30	900	0
0.95	30	900	0
0.96	30	900	0
0.97	30	900	0
0.98	30	900	0
0.99	30	900	0
1	37.6086	1420.49	14.8429
1.01	42	1764	0
1.02	42	1764	0
1.03	42	1764	0
1.04	42	1764	0
1.05	42	1764	0
1.06	42	1764	0
1.07	42	1764	0
1.08	42	1764	0
1.09	42	1764	0
1.1	42	1764	0
1.11	42	1764	0
1.12	42	1764	0
1.125	42	1764	0
1.13	42	1764	0
1.14	42	1764	0
1.14286	42	1764	0
1.15	42	1764	0
1.16	42	1764	0
1.16667	42	1764	0
1.17	42	1764	0
1.18	42	1764	0
1.19	42	1764	0
1.2	42	1764	0
1.2	42	1764	0
1.21	42	1764	0
1.22	42	1764	0
1.23	42	1764	0
1.24	42	1764	0
1.25	42	1764	0
1.25	42	1764	0
1.26	42	1764	0
1.27	42	1764	0
1.28	42	1764	0
1.28571	42	1764	0
1.29	42	1764	0
1.3	42	1764	0
1.31	42	1764	0
1.32	42	1764	0
1.33	42	1764	0
1.33333	42	1764	0
1.33333	42	1764	0
1.34	42	1764	0
1.35	42	1764	0
1.36	42	1764	0
1.37	42	1764	0
1.38	42	1764	0
1.39	42	1764	0
1.4	42	1764	0
1.4	42	1764	0
1.41	42	1764	0
1.42	42	1764	0
1.43	42	1764	0
1.44	42	1764	0
1.45	42	1764	0
1.46	42	1764	0
1.47	42	1764	0
1.48	42	1764	0
1.49	42	1764	0
1.5	42	1764	0
1.5	42	1764	0
1.5	42	1764	0
1.5	42	1764	0
1.51	42	1764	0
1.52	42	1764	0
1.53	42	1764	0
1.54	42	1764	0
1.55	42	1764	0
1.56	42	1764	0
1.57	42	1764	0
1.58	42	1764	0
1.59	42	1764	0
1.6	42	1764	0
1.6	42	1764	0
1.61	42	1764	0
1.62	42	1764	0
1.63	42	1764	0
1.64	42	1764	0
1.65	42	1764	0
1.66	42	1764	0
1.66667	42	1764	0
1.67	42	1764	0
1.68	42	1764	0
1.69	42	1764	0
1.7	42	1764	0
1.71	42	1764	0
1.72	42	1764	0
1.73	42	1764	0
1.74	42	1764	0
1.75	42	1764	0
1.75	42	1764	0
1.76	42	1764	0
1.77	42	1764	0
1.78	42	1764	0
1.79	42	1764	0
1.8	42	1764	0
1.8	42	1764	0
1.81	42	1764	0
1.82	42	1764	0
1.83	42	1764	0
1.84	42	1764	0
1.85	42	1764	0
1.86	42	1764	0
1.87	42	1764	0
1.88	42	1764	0
1.89	42	1764	0
1.9	42	1764	0
1.91	42	1764	0
1.92	42	1764	0
1.93	42	1764	0
1.94	42	1764	0
1.95	42	1764	0
1.96	42	1764	0
1.97	42	1764	0
1.98	42	1764	0
1.99	42	1764	0
2	49.1429	2422.59	18.4683
2	49.1429	2422.59	18.4683
2	49.1429	2422.59	18.4683
2	49.1429	2422.59	18.4683
2.01	60	3600	0
2.02	60	3600	0
2.03	60	3600	0
2.04	60	3600	0
2.05	60	3600	0
2.06	60	3600	0
2.07	60	3600	0
2.08	60	3600	0
2.09	60	3600	0
2.1	60	3600	0
2.11	60	3600	0
2.12	60	3600	0
2.13	60	3600	0
2.14	60	3600	0
2.15	60	3600	0
2.16	60	3600	0
2.17	60	3600	0
2.18	60	3600	0
2.19	60	3600	0
2.2	60	3600	0
2.21	60	3600	0
2.22	60	3600	0
2.23	60	3600	0
2.24	60	3600	0
2.25	60	3600	0
2.25	60	3600	0
2.26	60	3600	0
2.27	60	3600	0
2.28	60	3600	0
2.29	60	3600	0
2.3	60	3600	0
2.31	60	3600	0
2.32	60	3600	0
2.33	60	3600	0
2.33333	60	3600	0
2.34	60	3600	0
2.35	60	3600	0
2.36	60	3600	0
2.37	60	3600	0
2.38	60	3600	0
2.39	60	3600	0
2.4	60	3600	0
2.41	60	3600	0
2.42	60	3600	0
2.43	60	3600	0
2.44	60	3600	0
2.45	60	3600	0
2.46	60	3600	0
2.47	60	3600	0
2.48	60	3600	0
2.49	60	3600	0
2.5	60	3600	0
2.5	60	3600	0
2.51	60	3600	0
2.52	60	3600	0
2.53	60	3600	0
2.54	60	3600	0
2.55	60	3600	0
2.56	60	3600	0
2.57	60	3600	0
2.58	60	3600	0
2.59	60	3600	0
2.6	60	3600	0
2.61	60	3600	0
2.62	60	3600	0
2.63	60	3600	0
2.64	60	3600	0
2.65	60	3600	0
2.66	60	3600	0
2.66667	60	3600	0
2.67	60	3600	0
2.68	60	3600	0
2.69	60	3600	0
2.7	60	3600	0
2.71	60	3600	0
2.72	60	3600	0
2.73	60	3600	0
2.74	60	3600	0
2.75	60	3600	0
2.76	60	3600	0
2.77	60	3600	0
2.78	60	3600	0
2.79	60	3600	0
2.8	60	3600	0
2.81	60	3600	0
2.82	60	3600	0
2.83	60	3600	0
2.84	60	3600	0
2.85	60	3600	0
2.86	60	3600	0
2.87	60	3600	0
2.88	60	3600	0
2.89	60	3600	0
2.9	60	3600	0
2.91	60	3600	0
2.92	60	3600	0
2.93	60	3600	0
2.94	60	3600	0
2.95	60	3600	0
2.96	60	3600	0
2.97	60	3600	0
2.98	60	3600	0
2.99	60	3600	0
3	61.5	3784	4.27246
3	61.5	3784	4.27246
3	61.5	3784	4.27246
3.01	64	4096	0
3.02	64	4096	0
3.03	64	4096	0
3.04	64	4096	0
3.05	64	4096	0
3.06	64	4096	0
3.07	64	4096	0
3.08	64	4096	0
3.09	64	4096	0
3.1	64	4096	0
3.11	64	4096	0
3.12	64	4096	0
3.13	64	4096	0
3.14	64	4096	0
3.15	64	4096	0
3.16	64	4096	0
3.17	64	4096	0
3.18	64	4096	0
3.19	64	4096	0
3.2	64	4096	0
3.21	64	4096	0
3.22	64	4096	0
3.23	64	4096	0
3.24	64	4096	0
3.25	64	4096	0
3.26	64	4096	0
3.27	64	4096	0
3.28	64	4096	0
3.29	64	4096	0
3.3	64	4096	0
3.31	64	4096	0
3.32	64	4096	0
3.33	64	4096	0
3.34	64	4096	0
3.35	64	4096	0
3.36	64	4096	0
3.37	64	4096	0
3.38	64	4096	0
3.39	64	4096	0
3.4	64	4096	0
3.41	64	4096	0
3.42	64	4096	0
3.43	64	4096	0
3.44	64	4096	0
3.45	64	4096	0
3.46	64	4096	0
3.47	64	4096	0
3.48	64	4096	0
3.49	64	4096	0
3.5	64	4096	0
3.5	64	4096	0
3.51	64	4096	0
3.52	64	4096	0
3.53	64	4096	0
3.54	64	4096	0
3.55	64	4096	0
3.56	64	4096	0
3.57	64	4096	0
3.58	64	4096	0
3.59	64	4096	0
3.6	64	4096	0
3.61	64	4096	0
3.62	64	4096	0
3.63	64	4096	0
3.64	64	4096	0
3.65	64	4096	0
3.66	64	4096	0
3.67	64	4096	0
3.68	64	4096	0
3.69	64	4096	0
3.7	64	4096	0
3.71	64	4096	0
3.72	64	4096	0
3.73	64	4096	0
3.74	64	4096	0
3.75	64	4096	0
3.76	64	4096	0
3.77	64	4096	0
3.78	64	4096	0
3.79	64	4096	0
3.8	64	4096	0
3.81	64	4096	0
3.82	64	4096	0
3.83	64	4096	0
3.84	64	4096	0
3.85	64	4096	0
3.86	64	4096	0
3.87	64	4096	0
3.88	64	4096	0
3.89	64	4096	0
3.9	64	4096	0
3.91	64	4096	0
3.92	64	4096	0
3.93	64	4096	0
3.94	64	4096	0
3.95	64	4096	0
3.96	64	4096	0
3.97	64	4096	0
3.98	64	4096	0
3.99	64	4096	0
4	64	4096	0
4	64	4096	0
4.01	64	4096	0
4.02	64	4096	0
4.03	64	4096	0
4.04	64	4096	0
4.05	64	4096	0
4.06	64	4096	0
4.07	64	4096	0
4.08	64	4096	0
4.09	64	4096	0
4.1	64	4096	0
4.11	64	4096	0
4.12	64	4096	0
4.13	64	4096	0
4.14	64	4096	0
4.15	64	4096	0
4.16	64	4096	0
4.17	64	4096	0
4.18	64	4096	0
4.19	64	4096	0
4.2	64	4096	0
4.21	64	4096	0
4.22	64	4096	0
