#H	EgsH	gMgs	Mgs
0	-62	2	-0.40625
0	-62	28	-0.375
0	-62	190	-0.34375
0	-62	892	-0.3125
0	-62	3276	-0.28125
0	-62	9796	-0.25
0	-62	24634	-0.21875
0	-62	54028	-0.1875
0	-62	104898	-0.15625
0	-62	179058	-0.125
0	-62	266634	-0.09375
0	-62	347760	-0.0625
0	-62	403182	-0.03125
0	-62	422508	0
0	-62	403182	0.03125
0	-62	347760	0.0625
0	-62	266634	0.09375
0	-62	179058	0.125
0	-62	104898	0.15625
0	-62	54028	0.1875
0	-62	24634	0.21875
0	-62	9796	0.25
0	-62	3276	0.28125
0	-62	892	0.3125
0	-62	190	0.34375
0	-62	28	0.375
0	-62	2	0.40625
