#T	E/N	M/N	C/N	Xi/N
0.0001	-0.0151367	0.00114196	0	30.7749
0.0101	-0.0151367	0.00114196	0	0.304702
0.0201	-0.0151367	0.00114196	0	0.153109
0.0301	-0.0151367	0.00114196	0	0.102242
0.0401	-0.0151367	0.00114196	0	0.0767454
0.0501	-0.0151367	0.00114196	0	0.0614269
0.0601	-0.0151367	0.00114196	-2.15159e-013	0.0512061
0.0701	-0.0151367	0.00114196	1.53633e-012	0.0439014
0.0801	-0.0151367	0.00114196	4.69975e-011	0.0384206
0.0901	-0.0151367	0.00114196	5.94047e-010	0.0341564
0.1001	-0.0151367	0.00114196	4.42081e-009	0.0307441
0.1101	-0.0151367	0.00114196	2.24344e-008	0.0279518
0.1201	-0.0151367	0.00114196	8.55616e-008	0.0256244
0.1301	-0.0151367	0.00114196	2.62245e-007	0.0236548
0.1401	-0.0151367	0.00114196	6.77527e-007	0.0219665
0.1501	-0.0151367	0.00114197	1.52788e-006	0.0205031
0.1601	-0.0151367	0.00114197	3.08688e-006	0.0192227
0.1701	-0.0151366	0.00114199	5.69975e-006	0.0180931
0.1801	-0.0151366	0.00114201	9.76769e-006	0.0170892
0.1901	-0.0151364	0.00114204	1.57253e-005	0.0161915
0.2001	-0.0151362	0.00114209	2.40148e-005	0.015384
0.2101	-0.0151359	0.00114217	3.50613e-005	0.0146543
0.2201	-0.0151355	0.00114228	4.92513e-005	0.0139919
0.2301	-0.0151349	0.00114244	6.69162e-005	0.0133883
0.2401	-0.0151342	0.00114265	8.83219e-005	0.0128364
0.2501	-0.0151332	0.00114292	0.000113663	0.0123303
0.2601	-0.0151319	0.00114326	0.000143065	0.0118649
0.2701	-0.0151303	0.00114368	0.000176584	0.0114361
0.2801	-0.0151283	0.0011442	0.000214215	0.0110401
0.2901	-0.015126	0.00114483	0.000255901	0.0106738
0.3001	-0.0151232	0.00114557	0.000301538	0.0103343
0.3101	-0.01512	0.00114643	0.000350987	0.0100194
0.3201	-0.0151162	0.00114742	0.000404083	0.00972686
0.3301	-0.0151119	0.00114855	0.000460636	0.00945479
0.3401	-0.015107	0.00114983	0.000520444	0.00920152
0.3501	-0.0151014	0.00115126	0.000583296	0.00896552
0.3601	-0.0150953	0.00115284	0.000648977	0.00874544
0.3701	-0.0150885	0.00115459	0.000717266	0.00854003
0.3801	-0.0150809	0.00115649	0.000787947	0.00834817
0.3901	-0.0150727	0.00115856	0.000860802	0.00816883
0.4001	-0.0150637	0.0011608	0.000935619	0.00800106
0.4101	-0.015054	0.0011632	0.00101219	0.007844
0.4201	-0.0150435	0.00116576	0.0010903	0.00769683
0.4301	-0.0150322	0.00116848	0.00116974	0.00755881
0.4401	-0.0150201	0.00117135	0.00125033	0.00742926
0.4501	-0.0150071	0.00117438	0.00133185	0.00730754
0.4601	-0.0149934	0.00117756	0.00141412	0.00719305
0.4701	-0.0149789	0.00118087	0.00149693	0.00708524
0.4801	-0.0149635	0.00118433	0.0015801	0.00698359
0.4901	-0.0149473	0.00118791	0.00166344	0.00688763
0.5001	-0.0149302	0.00119161	0.00174676	0.00679691
0.5101	-0.0149123	0.00119543	0.00182988	0.006711
0.5201	-0.0148936	0.00119936	0.00191263	0.00662953
0.5301	-0.0148741	0.00120338	0.00199483	0.00655214
0.5401	-0.0148537	0.00120749	0.00207632	0.00647848
0.5501	-0.0148326	0.00121168	0.00215693	0.00640826
0.5601	-0.0148106	0.00121594	0.00223652	0.00634118
0.5701	-0.0147878	0.00122026	0.00231493	0.00627697
0.5801	-0.0147643	0.00122464	0.00239203	0.00621539
0.5901	-0.01474	0.00122906	0.0024677	0.00615622
0.6001	-0.0147149	0.00123352	0.0025418	0.00609925
0.6101	-0.0146892	0.001238	0.00261424	0.00604429
0.6201	-0.0146627	0.00124251	0.00268492	0.00599116
0.6301	-0.0146355	0.00124702	0.00275374	0.00593971
0.6401	-0.0146076	0.00125154	0.00282064	0.00588978
0.6501	-0.0145791	0.00125606	0.00288553	0.00584126
0.6601	-0.0145499	0.00126056	0.00294837	0.00579401
0.6701	-0.0145201	0.00126505	0.00300911	0.00574794
0.6801	-0.0144897	0.00126952	0.00306771	0.00570294
0.6901	-0.0144588	0.00127396	0.00312415	0.00565893
0.7001	-0.0144272	0.00127836	0.0031784	0.00561584
0.7101	-0.0143952	0.00128273	0.00323046	0.00557358
0.7201	-0.0143626	0.00128706	0.00328032	0.0055321
0.7301	-0.0143296	0.00129133	0.003328	0.00549135
0.7401	-0.0142961	0.00129556	0.00337349	0.00545128
0.7501	-0.0142621	0.00129974	0.00341683	0.00541183
0.7601	-0.0142278	0.00130386	0.00345804	0.00537299
0.7701	-0.014193	0.00130793	0.00349714	0.0053347
0.7801	-0.0141578	0.00131193	0.00353417	0.00529694
0.7901	-0.0141223	0.00131588	0.00356917	0.00525969
0.8001	-0.0140864	0.00131976	0.00360217	0.00522292
0.8101	-0.0140503	0.00132358	0.00363323	0.00518662
0.8201	-0.0140138	0.00132733	0.00366239	0.00515076
0.8301	-0.013977	0.00133102	0.0036897	0.00511533
0.8401	-0.01394	0.00133465	0.0037152	0.00508032
0.8501	-0.0139027	0.00133821	0.00373896	0.00504572
0.8601	-0.0138652	0.00134171	0.00376101	0.00501151
0.8701	-0.0138275	0.00134514	0.00378142	0.00497769
0.8801	-0.0137896	0.0013485	0.00380024	0.00494424
0.8901	-0.0137515	0.00135181	0.00381752	0.00491117
0.9001	-0.0137133	0.00135505	0.00383331	0.00487846
0.9101	-0.0136748	0.00135823	0.00384767	0.0048461
0.9201	-0.0136363	0.00136134	0.00386065	0.00481411
0.9301	-0.0135976	0.0013644	0.00387229	0.00478246
0.9401	-0.0135589	0.0013674	0.00388266	0.00475115
0.9501	-0.01352	0.00137034	0.00389179	0.00472018
0.9601	-0.013481	0.00137322	0.00389974	0.00468955
0.9701	-0.013442	0.00137605	0.00390656	0.00465925
0.9801	-0.0134029	0.00137882	0.00391228	0.00462928
0.9901	-0.0133638	0.00138154	0.00391696	0.00459962
1.0001	-0.0133246	0.00138421	0.00392064	0.00457029
1.0101	-0.0132853	0.00138683	0.00392336	0.00454128
